user_id,Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay,Year,Day,DayOfWeek,age,gender
1,2025-04-05,Transaction at IRCTC,20666.49,9,Debit Card,Kolkata,Salary,0,Mobile,INR,Service,No,Saturday,4,Night,2025,5,Saturday,29,Female
2,2025-12-06,Transaction at Myntra,1919.05,7,Net Banking,Hyderabad,Salary,0,Desktop,INR,Online Store,Yes,Saturday,12,Evening,2025,6,Saturday,53,Male
3,2025-06-20,Transaction at BigBazaar,2837.68,5,Debit Card,Bangalore,Savings,0,Mobile,INR,Retail,No,Friday,6,Evening,2025,20,Friday,29,Female
4,2025-04-23,Transaction at Property Tax Online,1071.04,0,Net Banking,Delhi,Current,0,POS Terminal,INR,Service,Yes,Wednesday,4,Afternoon,2025,23,Wednesday,46,Male
5,2025-03-06,Transaction at Asus Store,10722.8,2,Debit Card,Mumbai,Current,0,Mobile,INR,Retail,Yes,Thursday,3,Evening,2025,6,Thursday,39,Female
6,2025-10-30,Transaction at Max Fashion,3502.77,1,Debit Card,Bangalore,Savings,0,POS Terminal,INR,Retail,No,Thursday,10,Morning,2025,30,Thursday,50,Female
7,2025-06-11,Transaction at Property Tax Online,5334.34,0,Credit Card,Pune,Current,0,Desktop,INR,Service,Yes,Wednesday,6,Morning,2025,11,Wednesday,29,Female
8,2025-01-03,Transaction at Airtel,1472.58,0,UPI,Mumbai,Salary,0,Desktop,INR,Service,Yes,Friday,1,Morning,2025,3,Friday,44,Female
9,2025-07-27,Transaction at Wrogn,1965.86,1,Credit Card,Delhi,Current,0,POS Terminal,INR,Retail,No,Sunday,7,Afternoon,2025,27,Sunday,22,Male
10,2025-08-16,Transaction at Aha,250.69,3,Credit Card,Chennai,Salary,0,POS Terminal,INR,Subscription,No,Saturday,8,Morning,2025,16,Saturday,45,Male
11,2025-03-04,Transaction at Airtel,3989.88,0,Debit Card,Bangalore,Savings,0,Desktop,INR,Service,Yes,Tuesday,3,Evening,2025,4,Tuesday,22,Male
12,2025-06-23,Transaction at Cream Stone,525.94,4,Credit Card,Mumbai,Savings,0,POS Terminal,INR,Restaurant,Yes,Monday,6,Afternoon,2025,23,Monday,52,Male
