user_id,Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay,Year,Day,DayOfWeek,age,gender
1,4/5/2025,Transaction at IRCTC,20666.49,9,Debit Card,Kolkata,Salary,0,Mobile,INR,Service,No,Saturday,4,Night,2025,5,Saturday,29,Female
2,12/6/2025,Transaction at Myntra,1919.05,7,Net Banking,Hyderabad,Salary,0,Desktop,INR,Online Store,Yes,Saturday,12,Evening,2025,6,Saturday,53,Male
3,6/20/2025,Transaction at BigBazaar,2837.68,5,Debit Card,Bangalore,Savings,0,Mobile,INR,Retail,No,Friday,6,Evening,2025,20,Friday,29,Female
4,4/23/2025,Transaction at Property Tax Online,1071.04,0,Net Banking,Delhi,Current,0,POS Terminal,INR,Service,Yes,Wednesday,4,Afternoon,2025,23,Wednesday,46,Male
5,3/6/2025,Transaction at Asus Store,10722.8,2,Debit Card,Mumbai,Current,0,Mobile,INR,Retail,Yes,Thursday,3,Evening,2025,6,Thursday,39,Female
6,10/30/2025,Transaction at Max Fashion,3502.77,1,Debit Card,Bangalore,Savings,0,POS Terminal,INR,Retail,No,Thursday,10,Morning,2025,30,Thursday,50,Female
7,6/11/2025,Transaction at Property Tax Online,5334.34,0,Credit Card,Pune,Current,0,Desktop,INR,Service,Yes,Wednesday,6,Morning,2025,11,Wednesday,29,Female
8,1/3/2025,Transaction at Airtel,1472.58,0,UPI,Mumbai,Salary,0,Desktop,INR,Service,Yes,Friday,1,Morning,2025,3,Friday,44,Female
9,7/27/2025,Transaction at Wrogn,1965.86,1,Credit Card,Delhi,Current,0,POS Terminal,INR,Retail,No,Sunday,7,Afternoon,2025,27,Sunday,22,Male
10,8/16/2025,Transaction at Aha,250.69,3,Credit Card,Chennai,Salary,0,POS Terminal,INR,Subscription,No,Saturday,8,Morning,2025,16,Saturday,45,Male
11,3/4/2025,Transaction at Airtel,3989.88,0,Debit Card,Bangalore,Savings,0,Desktop,INR,Service,Yes,Tuesday,3,Evening,2025,4,Tuesday,22,Male
12,6/23/2025,Transaction at Cream Stone,525.94,4,Credit Card,Mumbai,Savings,0,POS Terminal,INR,Restaurant,Yes,Monday,6,Afternoon,2025,23,Monday,52,Male
13,6/24/2025,Transaction at Cream Stone,393.35,4,UPI,Kolkata,Salary,0,Desktop,INR,Restaurant,No,Tuesday,6,Afternoon,2025,24,Tuesday,24,Male
14,5/10/2025,Transaction at IndiGo,24147.34,9,Net Banking,Hyderabad,Current,0,Mobile,INR,Service,No,Saturday,5,Evening,2025,10,Saturday,40,Female
15,7/28/2025,Transaction at Nilgiris,1295.25,5,UPI,Mumbai,Savings,0,POS Terminal,INR,Retail,No,Monday,7,Morning,2025,28,Monday,42,Male
16,4/26/2025,Transaction at TSRTC,1287.28,8,UPI,Delhi,Current,0,POS Terminal,INR,Service,Yes,Saturday,4,Evening,2025,26,Saturday,23,Male
17,2/11/2025,Transaction at Metro Rail,723.54,8,Debit Card,Chennai,Credit Card,0,Desktop,INR,Service,Yes,Tuesday,2,Morning,2025,11,Tuesday,37,Female
18,5/3/2025,Transaction at IRCTC,11324.06,9,Credit Card,Delhi,Credit Card,0,Desktop,INR,Service,Yes,Saturday,5,Evening,2025,3,Saturday,56,Male
19,6/27/2025,Transaction at Ajio,6989.5,7,Credit Card,Kolkata,Salary,0,Desktop,INR,Online Store,No,Friday,6,Morning,2025,27,Friday,42,Male
20,12/27/2025,Transaction at Nilgiris,1436.49,5,Net Banking,Bangalore,Savings,0,Desktop,INR,Retail,Yes,Saturday,12,Morning,2025,27,Saturday,45,Male
21,11/10/2025,Transaction at Nykaa,16470.71,7,UPI,Bangalore,Savings,0,POS Terminal,INR,Online Store,No,Monday,11,Morning,2025,10,Monday,39,Male
22,5/21/2025,Transaction at Dominos,851.8,4,Debit Card,Mumbai,Credit Card,0,Desktop,INR,Restaurant,No,Wednesday,5,Evening,2025,21,Wednesday,53,Male
23,3/8/2025,Transaction at AirAsia,20599.36,9,Debit Card,Mumbai,Salary,0,Mobile,INR,Service,No,Saturday,3,Evening,2025,8,Saturday,40,Male
24,11/30/2025,Transaction at KFC,1260.41,4,Credit Card,Bangalore,Savings,0,POS Terminal,INR,Restaurant,Yes,Sunday,11,Evening,2025,30,Sunday,29,Male
25,8/25/2025,Transaction at Netflix,828.75,3,Net Banking,Kolkata,Current,0,Mobile,INR,Subscription,Yes,Monday,8,Morning,2025,25,Monday,31,Male
26,5/29/2025,Transaction at Apple Store,131786.69,2,Net Banking,Pune,Current,0,Mobile,INR,Retail,No,Thursday,5,Evening,2025,29,Thursday,47,Male
27,2/6/2025,Transaction at Spotify,177.44,3,Net Banking,Hyderabad,Current,0,Mobile,INR,Subscription,Yes,Thursday,2,Morning,2025,6,Thursday,50,Male
28,3/9/2025,Transaction at Water Board,2367.05,0,Net Banking,Bangalore,Current,0,Mobile,INR,Service,Yes,Sunday,3,Night,2025,9,Sunday,36,Male
29,2/27/2025,Transaction at Vodafone Idea,4047.44,0,Net Banking,Chennai,Savings,0,Desktop,INR,Service,Yes,Thursday,2,Morning,2025,27,Thursday,46,Female
